"Stiffness of suspension Kms (X)"					
"-Xprot < X < Xprot"		"Xp- < X < Xp+"		"Kms (-X)"	
"<< coil out                                    X [mm]                                     coil in >>"	"Kms [N/mm]"	"<< coil out                                    X [mm]                                     coil in >>"	"Kms [N/mm]"	"<< coil out                                    X [mm]                                     coil in >>"	"Kms [N/mm]"
-2.7571	1.45438	-2.25236	1.25458	-2.7571	0.581149
-2.7014	1.43051	-2.20356	1.23717	-2.7014	0.581701
-2.6457	1.40711	-2.15477	1.22008	-2.6457	0.582302
-2.59	1.38416	-2.10598	1.2033	-2.59	0.582957
-2.53431	1.36167	-2.05719	1.18683	-2.53431	0.583668
-2.47861	1.33962	-2.0084	1.17068	-2.47861	0.584438
-2.42291	1.31802	-1.95961	1.15483	-2.42291	0.58527
-2.36721	1.29686	-1.91082	1.13928	-2.36721	0.586168
-2.31151	1.27613	-1.86202	1.12403	-2.31151	0.587135
-2.25581	1.25583	-1.81323	1.10908	-2.25581	0.588174
-2.20011	1.23595	-1.76444	1.09442	-2.20011	0.589289
-2.14441	1.21649	-1.71565	1.08004	-2.14441	0.590481
-2.08871	1.19743	-1.66686	1.06596	-2.08871	0.591756
-2.03301	1.17879	-1.61807	1.05215	-2.03301	0.593115
-1.97732	1.16054	-1.56928	1.03863	-1.97732	0.594563
-1.92162	1.14269	-1.52048	1.02537	-1.92162	0.596103
-1.86592	1.12524	-1.47169	1.01239	-1.86592	0.597738
-1.81022	1.10816	-1.4229	0.999681	-1.81022	0.599472
-1.75452	1.09147	-1.37411	0.987235	-1.75452	0.601308
-1.69882	1.07515	-1.32532	0.97505	-1.69882	0.603249
-1.64312	1.05921	-1.27653	0.963124	-1.64312	0.6053
-1.58742	1.04362	-1.22774	0.951452	-1.58742	0.607463
-1.53172	1.0284	-1.17894	0.940033	-1.53172	0.609742
-1.47602	1.01353	-1.13015	0.928863	-1.47602	0.612141
-1.42033	0.999018	-1.08136	0.917937	-1.42033	0.614663
-1.36463	0.984846	-1.03257	0.907255	-1.36463	0.617312
-1.30893	0.971015	-0.983778	0.896811	-1.30893	0.620091
-1.25323	0.957519	-0.934987	0.886603	-1.25323	0.623005
-1.19753	0.944353	-0.886195	0.876628	-1.19753	0.626057
-1.14183	0.931513	-0.837404	0.866882	-1.14183	0.62925
-1.08613	0.918995	-0.788612	0.857363	-1.08613	0.632589
-1.03043	0.906792	-0.739821	0.848067	-1.03043	0.636077
-0.974733	0.894901	-0.691029	0.838991	-0.974733	0.639718
-0.919034	0.883316	-0.642238	0.830132	-0.919034	0.643515
-0.863335	0.872033	-0.593447	0.821487	-0.863335	0.647474
-0.807636	0.861047	-0.544655	0.813053	-0.807636	0.651596
-0.751937	0.850354	-0.495864	0.804827	-0.751937	0.655887
-0.696238	0.839949	-0.447072	0.796806	-0.696238	0.660351
-0.640539	0.829827	-0.398281	0.788986	-0.640539	0.664991
-0.58484	0.819984	-0.349489	0.781366	-0.58484	0.669811
-0.529141	0.810415	-0.300698	0.773941	-0.529141	0.674815
-0.473442	0.801116	-0.251906	0.766709	-0.473442	0.680008
-0.417743	0.792081	-0.203115	0.759667	-0.417743	0.685393
-0.362044	0.783308	-0.154324	0.752812	-0.362044	0.690974
-0.306345	0.77479	-0.105532	0.74614	-0.306345	0.696756
-0.250646	0.766525	-0.0567406	0.73965	-0.250646	0.702742
-0.194947	0.758506	-0.00794915	0.733338	-0.194947	0.708938
-0.139248	0.750731	0.0408423	0.727201	-0.139248	0.715346
-0.0835485	0.743194	0.0896338	0.721237	-0.0835485	0.721972
-0.0278495	0.735891	0.138425	0.715442	-0.0278495	0.728819
0.0278495	0.728819	0.187217	0.709814	0.0278495	0.735891
0.0835485	0.721972	0.236008	0.70435	0.0835485	0.743194
0.139248	0.715346	0.2848	0.699047	0.139248	0.750731
0.194947	0.708938	0.333591	0.693902	0.194947	0.758506
0.250646	0.702742	0.382382	0.688913	0.250646	0.766525
0.306345	0.696756	0.431174	0.684076	0.306345	0.77479
0.362044	0.690974	0.479965	0.67939	0.362044	0.783308
0.417743	0.685393	0.528757	0.67485	0.417743	0.792081
0.473442	0.680008	0.577548	0.670455	0.473442	0.801116
0.529141	0.674815	0.62634	0.666202	0.529141	0.810415
0.58484	0.669811	0.675131	0.662088	0.58484	0.819984
0.640539	0.664991	0.723923	0.658111	0.640539	0.829827
0.696238	0.660351	0.772714	0.654267	0.696238	0.839949
0.751937	0.655887	0.821506	0.650554	0.751937	0.850354
0.807636	0.651596	0.870297	0.64697	0.807636	0.861047
0.863335	0.647474	0.919089	0.643511	0.863335	0.872033
0.919034	0.643515	0.96788	0.640176	0.919034	0.883316
0.974733	0.639718	1.01667	0.636962	0.974733	0.894901
1.03043	0.636077	1.06546	0.633866	1.03043	0.906792
1.08613	0.632589	1.11425	0.630885	1.08613	0.918995
1.14183	0.62925	1.16305	0.628017	1.14183	0.931513
1.19753	0.626057	1.21184	0.62526	1.19753	0.944353
1.25323	0.623005	1.26063	0.62261	1.25323	0.957519
1.30893	0.620091	1.30942	0.620066	1.30893	0.971015
1.36463	0.617312	1.35821	0.617625	1.36463	0.984846
1.42033	0.614663	1.407	0.615285	1.42033	0.999018
1.47602	0.612141	1.45579	0.613042	1.47602	1.01353
1.53172	0.609742	1.50459	0.610896	1.53172	1.0284
1.58742	0.607463	1.55338	0.608842	1.58742	1.04362
1.64312	0.6053	1.60217	0.606879	1.64312	1.05921
1.69882	0.603249	1.65096	0.605005	1.69882	1.07515
1.75452	0.601308	1.69975	0.603216	1.75452	1.09147
1.81022	0.599472	1.74854	0.601511	1.81022	1.10816
1.86592	0.597738	1.79733	0.599888	1.86592	1.12524
1.92162	0.596103	1.84613	0.598343	1.92162	1.14269
1.97732	0.594563	1.89492	0.596875	1.97732	1.16054
2.03301	0.593115	1.94371	0.595481	2.03301	1.17879
2.08871	0.591756	1.9925	0.59416	2.08871	1.19743
2.14441	0.590481	2.04129	0.592908	2.14441	1.21649
2.20011	0.589289	2.09008	0.591723	2.20011	1.23595
2.25581	0.588174	2.13887	0.590604	2.25581	1.25583
2.31151	0.587135	2.18767	0.589548	2.31151	1.27613
2.36721	0.586168	2.23646	0.588553	2.36721	1.29686
2.42291	0.58527	2.28525	0.587616	2.42291	1.31802
2.47861	0.584438	2.33404	0.586736	2.47861	1.33962
2.53431	0.583668	2.38283	0.58591	2.53431	1.36167
2.59	0.582957	2.43162	0.585136	2.59	1.38416
2.6457	0.582302	2.48042	0.584412	2.6457	1.40711
2.7014	0.581701	2.52921	0.583736	2.7014	1.43051
2.7571	0.581149	2.578	0.583105	2.7571	1.45438
