"Spectrum I(f) of current at speaker terminals"					
"Signal lines"		"Noise + Distortions"		"Noise floor"	
"Frequency [Hz]"	"[dB]   0 dB = 1 A"	"Frequency [Hz]"	"[dB]   0 dB = 1 A"	"Frequency [Hz]"	"[dB]   0 dB = 1 A"
87.8906	-59.2729			87.8906	-119.717
87.8906	-119.717			87.8906	-119.717
				87.8906	-119.717
				89.3555	-108.522
				89.3555	-108.522
				89.3555	-108.522
90.8203	-58.8209			90.8203	-111.036
90.8203	-111.036			90.8203	-111.036
				90.8203	-111.036
92.2852	-58.7028			92.2852	-111.359
92.2852	-111.359			92.2852	-111.359
				92.2852	-111.359
		93.75	-101.374	93.75	-115.857
		93.75	-115.857	93.75	-115.857
				93.75	-115.857
95.2148	-58.4178			95.2148	-117.759
95.2148	-117.759			95.2148	-117.759
				95.2148	-117.759
		96.6797	-108.493	96.6797	-123.409
		96.6797	-123.409	96.6797	-123.409
				96.6797	-123.409
98.1445	-58.2034			98.1445	-110.614
98.1445	-110.614			98.1445	-110.614
				98.1445	-110.614
				99.6094	-108.632
				99.6094	-108.632
				99.6094	-108.632
101.074	-57.8921			101.074	-110.17
101.074	-110.17			101.074	-110.17
				101.074	-110.17
		102.539	-103.707	102.539	-109.247
		102.539	-109.247	102.539	-109.247
				102.539	-109.247
104.004	-57.6592			104.004	-110.264
104.004	-110.264			104.004	-110.264
				104.004	-110.264
		105.469	-97.0075	105.469	-115.588
		105.469	-115.588	105.469	-115.588
				105.469	-115.588
106.934	-57.5126			106.934	-112.614
106.934	-112.614			106.934	-112.614
				106.934	-112.614
		108.398	-118.564	108.398	-121.007
		108.398	-121.007	108.398	-121.007
				108.398	-121.007
		109.863	-101.389	109.863	-107.986
		109.863	-107.986	109.863	-107.986
				109.863	-107.986
111.328	-57.1525			111.328	-108.521
111.328	-108.521			111.328	-108.521
				111.328	-108.521
				112.793	-114.229
				112.793	-114.229
				112.793	-114.229
114.258	-57.0038			114.258	-123.961
114.258	-123.961			114.258	-123.961
				114.258	-123.961
		115.723	-105.419	115.723	-111.399
		115.723	-111.399	115.723	-111.399
				115.723	-111.399
117.188	-56.8523			117.188	-116.867
117.188	-116.867			117.188	-116.867
				117.188	-116.867
		118.652	-98.7411	118.652	-111.709
		118.652	-111.709	118.652	-111.709
				118.652	-111.709
120.117	-56.7115			120.117	-106.163
120.117	-106.163			120.117	-106.163
				120.117	-106.163
				121.582	-114.861
				121.582	-114.861
				121.582	-114.861
		123.047	-104.426	123.047	-115.192
		123.047	-115.192	123.047	-115.192
				123.047	-115.192
124.512	-56.5676			124.512	-107.105
124.512	-107.105			124.512	-107.105
				124.512	-107.105
		125.977	-106.188	125.977	-110.264
		125.977	-110.264	125.977	-110.264
				125.977	-110.264
127.441	-56.4627			127.441	-112.705
127.441	-112.705			127.441	-112.705
				127.441	-112.705
				128.906	-107.023
				128.906	-107.023
				128.906	-107.023
		130.371	-102.547	130.371	-103.952
		130.371	-103.952	130.371	-103.952
				130.371	-103.952
131.836	-56.3487			131.836	-110.891
131.836	-110.891			131.836	-110.891
				131.836	-110.891
		133.301	-104.482	133.301	-111.01
		133.301	-111.01	133.301	-111.01
				133.301	-111.01
134.766	-56.1954			134.766	-111.625
134.766	-111.625			134.766	-111.625
				134.766	-111.625
		136.23	-96.722	136.23	-111.981
		136.23	-111.981	136.23	-111.981
				136.23	-111.981
		137.695	-97.2466	137.695	-116.281
		137.695	-116.281	137.695	-116.281
				137.695	-116.281
139.16	-56.0384			139.16	-109.286
139.16	-109.286			139.16	-109.286
				139.16	-109.286
		140.625	-98.2801	140.625	-114.908
		140.625	-114.908	140.625	-114.908
				140.625	-114.908
		142.09	-97.838	142.09	-110.868
		142.09	-110.868	142.09	-110.868
				142.09	-110.868
143.555	-55.9595			143.555	-115.332
143.555	-115.332			143.555	-115.332
				143.555	-115.332
		145.02	-98.8086	145.02	-108.927
		145.02	-108.927	145.02	-108.927
				145.02	-108.927
		146.484	-101.981	146.484	-123.001
		146.484	-123.001	146.484	-123.001
				146.484	-123.001
147.949	-55.7975			147.949	-109.562
147.949	-109.562			147.949	-109.562
				147.949	-109.562
		149.414	-101.052	149.414	-111.299
		149.414	-111.299	149.414	-111.299
				149.414	-111.299
				150.879	-102.633
				150.879	-102.633
				150.879	-102.633
152.344	-55.712			152.344	-110.793
152.344	-110.793			152.344	-110.793
				152.344	-110.793
		153.809	-104.608	153.809	-124.611
		153.809	-124.611	153.809	-124.611
				153.809	-124.611
		155.273	-107.869	155.273	-113.297
		155.273	-113.297	155.273	-113.297
				155.273	-113.297
156.738	-55.6406			156.738	-117.281
156.738	-117.281			156.738	-117.281
				156.738	-117.281
				158.203	-108.736
				158.203	-108.736
				158.203	-108.736
		159.668	-103.032	159.668	-116.757
		159.668	-116.757	159.668	-116.757
				159.668	-116.757
161.133	-55.5882			161.133	-108.906
161.133	-108.906			161.133	-108.906
				161.133	-108.906
		162.598	-104.794	162.598	-107.278
		162.598	-107.278	162.598	-107.278
				162.598	-107.278
		164.063	-110.511	164.063	-117.344
		164.063	-117.344	164.063	-117.344
				164.063	-117.344
165.527	-55.5082			165.527	-116.052
165.527	-116.052			165.527	-116.052
				165.527	-116.052
		166.992	-109.063	166.992	-119.413
		166.992	-119.413	166.992	-119.413
				166.992	-119.413
		168.457	-99.6549	168.457	-121.346
		168.457	-121.346	168.457	-121.346
				168.457	-121.346
169.922	-55.4619			169.922	-124.424
169.922	-124.424			169.922	-124.424
				169.922	-124.424
		171.387	-101.84	171.387	-112.916
		171.387	-112.916	171.387	-112.916
				171.387	-112.916
				172.852	-109.474
				172.852	-109.474
				172.852	-109.474
		174.316	-102.273	174.316	-107.745
		174.316	-107.745	174.316	-107.745
				174.316	-107.745
175.781	-55.4056			175.781	-115.297
175.781	-115.297			175.781	-115.297
				175.781	-115.297
				177.246	-111.947
				177.246	-111.947
				177.246	-111.947
		178.711	-105.098	178.711	-117.064
		178.711	-117.064	178.711	-117.064
				178.711	-117.064
180.176	-55.3461			180.176	-109.253
180.176	-109.253			180.176	-109.253
				180.176	-109.253
		181.641	-108.912	181.641	-110.834
		181.641	-110.834	181.641	-110.834
				181.641	-110.834
				183.105	-110.797
				183.105	-110.797
				183.105	-110.797
		184.57	-110.589	184.57	-126.075
		184.57	-126.075	184.57	-126.075
				184.57	-126.075
186.035	-55.2836			186.035	-138.934
186.035	-138.934			186.035	-138.934
				186.035	-138.934
		187.5	-102.011	187.5	-118.612
		187.5	-118.612	187.5	-118.612
				187.5	-118.612
		188.965	-102.762	188.965	-111.059
		188.965	-111.059	188.965	-111.059
				188.965	-111.059
		190.43	-102.537	190.43	-113.028
		190.43	-113.028	190.43	-113.028
				190.43	-113.028
191.895	-55.2346			191.895	-109.941
191.895	-109.941			191.895	-109.941
				191.895	-109.941
		193.359	-101.748	193.359	-110.365
		193.359	-110.365	193.359	-110.365
				193.359	-110.365
		194.824	-100.8	194.824	-110.814
		194.824	-110.814	194.824	-110.814
				194.824	-110.814
		196.289	-101.762	196.289	-108.501
		196.289	-108.501	196.289	-108.501
				196.289	-108.501
197.754	-55.2114			197.754	-120.104
197.754	-120.104			197.754	-120.104
				197.754	-120.104
				199.219	-114.523
				199.219	-114.523
				199.219	-114.523
		200.684	-98.7269	200.684	-120.068
		200.684	-120.068	200.684	-120.068
				200.684	-120.068
202.148	-55.2027			202.148	-114.708
202.148	-114.708			202.148	-114.708
				202.148	-114.708
		203.613	-100.84	203.613	-108.769
		203.613	-108.769	203.613	-108.769
				203.613	-108.769
		205.078	-101.247	205.078	-113.654
		205.078	-113.654	205.078	-113.654
				205.078	-113.654
		206.543	-106.723	206.543	-113.636
		206.543	-113.636	206.543	-113.636
				206.543	-113.636
		208.008	-95.3587	208.008	-108.741
		208.008	-108.741	208.008	-108.741
				208.008	-108.741
209.473	-55.1239			209.473	-122.369
209.473	-122.369			209.473	-122.369
				209.473	-122.369
		210.938	-101.183	210.938	-108.986
		210.938	-108.986	210.938	-108.986
				210.938	-108.986
				212.402	-109.778
				212.402	-109.778
				212.402	-109.778
		213.867	-99.6948	213.867	-112.912
		213.867	-112.912	213.867	-112.912
				213.867	-112.912
215.332	-55.0814			215.332	-117.234
215.332	-117.234			215.332	-117.234
				215.332	-117.234
		216.797	-102.138	216.797	-106.114
		216.797	-106.114	216.797	-106.114
				216.797	-106.114
		218.262	-100.341	218.262	-112.883
		218.262	-112.883	218.262	-112.883
				218.262	-112.883
		219.727	-104.624	219.727	-110.506
		219.727	-110.506	219.727	-110.506
				219.727	-110.506
221.191	-55.0737			221.191	-118.795
221.191	-118.795			221.191	-118.795
				221.191	-118.795
				222.656	-110.354
				222.656	-110.354
				222.656	-110.354
		224.121	-101.753	224.121	-118.473
		224.121	-118.473	224.121	-118.473
				224.121	-118.473
		225.586	-102.262	225.586	-106.021
		225.586	-106.021	225.586	-106.021
				225.586	-106.021
227.051	-55.1124			227.051	-118.172
227.051	-118.172			227.051	-118.172
				227.051	-118.172
		228.516	-98.6794	228.516	-107.376
		228.516	-107.376	228.516	-107.376
				228.516	-107.376
		229.98	-109.064	229.98	-117.919
		229.98	-117.919	229.98	-117.919
				229.98	-117.919
		231.445	-106.925	231.445	-121.113
		231.445	-121.113	231.445	-121.113
				231.445	-121.113
		232.91	-98.7963	232.91	-136.396
		232.91	-136.396	232.91	-136.396
				232.91	-136.396
234.375	-55.0569			234.375	-115.303
234.375	-115.303			234.375	-115.303
				234.375	-115.303
		235.84	-101.243	235.84	-123.114
		235.84	-123.114	235.84	-123.114
				235.84	-123.114
		237.305	-102.942	237.305	-114.856
		237.305	-114.856	237.305	-114.856
				237.305	-114.856
				238.77	-117.232
				238.77	-117.232
				238.77	-117.232
		240.234	-102.318	240.234	-121.008
		240.234	-121.008	240.234	-121.008
				240.234	-121.008
241.699	-55.0614			241.699	-118.169
241.699	-118.169			241.699	-118.169
				241.699	-118.169
		243.164	-102.78	243.164	-109.513
		243.164	-109.513	243.164	-109.513
				243.164	-109.513
		244.629	-106.216	244.629	-117.056
		244.629	-117.056	244.629	-117.056
				244.629	-117.056
		246.094	-97.871	246.094	-108.726
		246.094	-108.726	246.094	-108.726
				246.094	-108.726
		247.559	-102.945	247.559	-114.207
		247.559	-114.207	247.559	-114.207
				247.559	-114.207
249.023	-55.0527			249.023	-111.978
249.023	-111.978			249.023	-111.978
				249.023	-111.978
		250.488	-102.007	250.488	-111.423
		250.488	-111.423	250.488	-111.423
				250.488	-111.423
		251.953	-105.162	251.953	-114.903
		251.953	-114.903	251.953	-114.903
				251.953	-114.903
		253.418	-99.024	253.418	-124.094
		253.418	-124.094	253.418	-124.094
				253.418	-124.094
254.883	-55.1108			254.883	-115.277
254.883	-115.277			254.883	-115.277
				254.883	-115.277
		256.348	-99.5976	256.348	-109.57
		256.348	-109.57	256.348	-109.57
				256.348	-109.57
				257.813	-112.391
				257.813	-112.391
				257.813	-112.391
