"Magnitude of transfer function Hx(f)= X(f)/U(f)"							
"Measured"		"Fitted without creep"		"Fitted"		"Imported"	
"Frequency [Hz]"	"[mm/V]"	"Frequency [Hz]"	"[mm/V]"	"Frequency [Hz]"	"[mm/V]"	"Frequency [Hz]"	"[mm/V]"
372.07	0.0162852	372.07	0.0145958	372.07	0.0146056		
382.324	0.0136867	382.324	0.0137478	382.324	0.0137567		
394.043	0.0130001	394.043	0.0128597	394.043	0.0128677		
405.762	0.0116595	405.762	0.0120489	405.762	0.0120561		
417.48	0.0134574	417.48	0.0113072	417.48	0.0113137		
429.199	0.0114663	429.199	0.0106272	429.199	0.010633		
442.383	0.0139951	442.383	0.00992806	442.383	0.00993327		
455.566	0.00957949	455.566	0.0092911	455.566	0.00929577		
468.75	0.00635982	468.75	0.00870947	468.75	0.00871367		
481.934	0.00421145	481.934	0.00817723	481.934	0.00818101		
496.582	0.00732897	496.582	0.00763748	496.582	0.00764085		
511.23	0.00944333	511.23	0.00714611	511.23	0.00714912		
525.879	0.00568022	525.879	0.00669775	525.879	0.00670045		
541.992	0.0074473	541.992	0.00624868	541.992	0.00625109		
558.105	0.0065323	558.105	0.00584066	558.105	0.00584281		
574.219	0.000340023	574.219	0.00546903	574.219	0.00547095		
590.332	0.00577786	590.332	0.00512977	590.332	0.0051315		
607.91	0.00396118	607.91	0.00479249	607.91	0.00479403		
625.488	0.00230781	625.488	0.00448564	625.488	0.00448702		
644.531	0.00401514	644.531	0.00418362	644.531	0.00418485		
663.574	0.00161497	663.574	0.00390958	663.574	0.00391067		
682.617	0.00119489	682.617	0.0036603	682.617	0.00366127		
701.66	0.00337204	701.66	0.00343299	701.66	0.00343386		
723.633	0.00572321	723.633	0.00319487	723.633	0.00319565		
744.141	0.00553331	744.141	0.0029933	744.141	0.002994		
766.113	0.00336078	766.113	0.00279689	766.113	0.00279751		
788.086	0.0030805	788.086	0.0026184	788.086	0.00261895		
811.523	0.0045371	811.523	0.00244545	811.523	0.00244594		
834.961	0.00481394	834.961	0.00228842	834.961	0.00228886		
859.863	0.00311942	859.863	0.00213696	859.863	0.00213735		
884.766	0.00734459	884.766	0.00199951	884.766	0.00199986		
911.133	0.00194921	911.133	0.00186743	911.133	0.00186774		
937.5	0.00113698	937.5	0.00174757	937.5	0.00174785		
965.332	0.00398193	965.332	0.00163272	965.332	0.00163297		
993.164	0.00175122	993.164	0.00152847	993.164	0.00152869		
1022.46	0.00385068	1022.46	0.0014288	1022.46	0.001429		
1051.76	0.00493889	1051.76	0.00133826	1051.76	0.00133843		
1082.52	0.00262494	1082.52	0.00125186	1082.52	0.00125201		
