"Spectrum X(f) of voice coil displacement"					
"Signal lines"		"Noise + Distortions"		"Noise floor"	
"Frequency [Hz]"	"[mm]"	"Frequency [Hz]"	"[mm]"	"Frequency [Hz]"	"[mm]"
		79.1016	4.21911e-005	79.1016	1.28267e-005
		79.1016	1.28267e-005	79.1016	1.28267e-005
				79.1016	1.28267e-005
80.5664	0.00257131			80.5664	3.88001e-005
80.5664	3.88001e-005			80.5664	3.88001e-005
				80.5664	3.88001e-005
		82.0313	9.98492e-005	82.0313	5.89638e-005
		82.0313	5.89638e-005	82.0313	5.89638e-005
				82.0313	5.89638e-005
83.4961	0.00258077			83.4961	5.22466e-005
83.4961	5.22466e-005			83.4961	5.22466e-005
				83.4961	5.22466e-005
84.9609	0.00240077			84.9609	7.14752e-005
84.9609	7.14752e-005			84.9609	7.14752e-005
				84.9609	7.14752e-005
				86.4258	9.00081e-005
				86.4258	9.00081e-005
				86.4258	9.00081e-005
87.8906	0.00244516			87.8906	0.000105485
87.8906	0.000105485			87.8906	0.000105485
				87.8906	0.000105485
				89.3555	5.81037e-005
				89.3555	5.81037e-005
				89.3555	5.81037e-005
90.8203	0.0023345			90.8203	3.36748e-005
90.8203	3.36748e-005			90.8203	3.36748e-005
				90.8203	3.36748e-005
92.2852	0.00223248			92.2852	9.84859e-005
92.2852	9.84859e-005			92.2852	9.84859e-005
				92.2852	9.84859e-005
				93.75	7.54244e-005
				93.75	7.54244e-005
				93.75	7.54244e-005
95.2148	0.00209614			95.2148	4.94414e-005
95.2148	4.94414e-005			95.2148	4.94414e-005
				95.2148	4.94414e-005
		96.6797	6.17714e-005	96.6797	1.39099e-005
		96.6797	1.39099e-005	96.6797	1.39099e-005
				96.6797	1.39099e-005
98.1445	0.00210892			98.1445	5.80995e-005
98.1445	5.80995e-005			98.1445	5.80995e-005
				98.1445	5.80995e-005
				99.6094	6.80519e-005
				99.6094	6.80519e-005
				99.6094	6.80519e-005
101.074	0.00202233			101.074	9.76064e-005
101.074	9.76064e-005			101.074	9.76064e-005
				101.074	9.76064e-005
				102.539	5.53344e-005
				102.539	5.53344e-005
				102.539	5.53344e-005
104.004	0.00182241			104.004	0.000114322
104.004	0.000114322			104.004	0.000114322
				104.004	0.000114322
		105.469	8.25376e-005	105.469	2.03949e-005
		105.469	2.03949e-005	105.469	2.03949e-005
				105.469	2.03949e-005
106.934	0.0018514			106.934	6.96814e-005
106.934	6.96814e-005			106.934	6.96814e-005
				106.934	6.96814e-005
				108.398	8.93404e-005
				108.398	8.93404e-005
				108.398	8.93404e-005
		109.863	5.37381e-005	109.863	1.1586e-005
		109.863	1.1586e-005	109.863	1.1586e-005
				109.863	1.1586e-005
111.328	0.00174769			111.328	5.39879e-005
111.328	5.39879e-005			111.328	5.39879e-005
				111.328	5.39879e-005
		112.793	4.9541e-005	112.793	4.82562e-005
		112.793	4.82562e-005	112.793	4.82562e-005
				112.793	4.82562e-005
114.258	0.00163863			114.258	9.67136e-005
114.258	9.67136e-005			114.258	9.67136e-005
				114.258	9.67136e-005
		115.723	6.6756e-005	115.723	3.56746e-005
		115.723	3.56746e-005	115.723	3.56746e-005
				115.723	3.56746e-005
117.188	0.00156819			117.188	0.00010776
117.188	0.00010776			117.188	0.00010776
				117.188	0.00010776
		118.652	0.0001043	118.652	4.17781e-005
		118.652	4.17781e-005	118.652	4.17781e-005
				118.652	4.17781e-005
120.117	0.001344			120.117	4.92495e-005
120.117	4.92495e-005			120.117	4.92495e-005
				120.117	4.92495e-005
		121.582	0.000114339	121.582	6.45262e-005
		121.582	6.45262e-005	121.582	6.45262e-005
				121.582	6.45262e-005
		123.047	0.000107568	123.047	1.91954e-005
		123.047	1.91954e-005	123.047	1.91954e-005
				123.047	1.91954e-005
124.512	0.00147589			124.512	2.14142e-005
124.512	2.14142e-005			124.512	2.14142e-005
				124.512	2.14142e-005
		125.977	6.56049e-005	125.977	2.25613e-005
		125.977	2.25613e-005	125.977	2.25613e-005
				125.977	2.25613e-005
127.441	0.00133241			127.441	4.38731e-005
