"Spectrum X(f) of voice coil displacement"					
"Signal lines"		"Noise + Distortions"		"Noise floor"	
"Frequency [Hz]"	"[mm]"	"Frequency [Hz]"	"[mm]"	"Frequency [Hz]"	"[mm]"
77.6367	3.65732e-005			77.6367	3.65732e-005
				77.6367	3.65732e-005
		79.1016	0.000146792	79.1016	6.46314e-005
		79.1016	6.46314e-005	79.1016	6.46314e-005
				79.1016	6.46314e-005
80.5664	0.00268995			80.5664	0.000175875
80.5664	0.000175875			80.5664	0.000175875
				80.5664	0.000175875
				82.0313	0.000108212
				82.0313	0.000108212
				82.0313	0.000108212
83.4961	0.00253072			83.4961	6.9538e-005
83.4961	6.9538e-005			83.4961	6.9538e-005
				83.4961	6.9538e-005
84.9609	0.00247654			84.9609	5.50866e-005
84.9609	5.50866e-005			84.9609	5.50866e-005
				84.9609	5.50866e-005
				86.4258	7.26069e-005
				86.4258	7.26069e-005
				86.4258	7.26069e-005
87.8906	0.00243357			87.8906	1.61078e-005
87.8906	1.61078e-005			87.8906	1.61078e-005
				87.8906	1.61078e-005
				89.3555	0.000116051
				89.3555	0.000116051
				89.3555	0.000116051
90.8203	0.00225529			90.8203	2.65248e-005
90.8203	2.65248e-005			90.8203	2.65248e-005
				90.8203	2.65248e-005
92.2852	0.00225071			92.2852	5.56035e-005
92.2852	5.56035e-005			92.2852	5.56035e-005
				92.2852	5.56035e-005
		93.75	0.000165375	93.75	4.29363e-005
		93.75	4.29363e-005	93.75	4.29363e-005
				93.75	4.29363e-005
95.2148	0.00205027			95.2148	1.99529e-005
95.2148	1.99529e-005			95.2148	1.99529e-005
				95.2148	1.99529e-005
				96.6797	0.000106484
				96.6797	0.000106484
				96.6797	0.000106484
98.1445	0.00203227			98.1445	0.000115482
98.1445	0.000115482			98.1445	0.000115482
				98.1445	0.000115482
				99.6094	7.86573e-005
				99.6094	7.86573e-005
				99.6094	7.86573e-005
101.074	0.00195043			101.074	8.09952e-005
101.074	8.09952e-005			101.074	8.09952e-005
				101.074	8.09952e-005
		102.539	0.000115623	102.539	6.1546e-005
		102.539	6.1546e-005	102.539	6.1546e-005
				102.539	6.1546e-005
104.004	0.00191618			104.004	6.56501e-005
104.004	6.56501e-005			104.004	6.56501e-005
				104.004	6.56501e-005
		105.469	6.68499e-005	105.469	3.73111e-005
		105.469	3.73111e-005	105.469	3.73111e-005
				105.469	3.73111e-005
106.934	0.00180682			106.934	8.29017e-005
106.934	8.29017e-005			106.934	8.29017e-005
				106.934	8.29017e-005
		108.398	7.59563e-005	108.398	6.61234e-005
		108.398	6.61234e-005	108.398	6.61234e-005
				108.398	6.61234e-005
		109.863	9.03853e-005	109.863	4.54995e-005
		109.863	4.54995e-005	109.863	4.54995e-005
				109.863	4.54995e-005
111.328	0.00171051			111.328	6.91379e-005
111.328	6.91379e-005			111.328	6.91379e-005
				111.328	6.91379e-005
		112.793	7.21614e-005	112.793	5.07385e-005
		112.793	5.07385e-005	112.793	5.07385e-005
				112.793	5.07385e-005
114.258	0.00162238			114.258	2.33486e-005
114.258	2.33486e-005			114.258	2.33486e-005
				114.258	2.33486e-005
				115.723	4.32677e-005
				115.723	4.32677e-005
				115.723	4.32677e-005
117.188	0.00154024			117.188	3.99553e-005
117.188	3.99553e-005			117.188	3.99553e-005
				117.188	3.99553e-005
				118.652	3.93584e-005
				118.652	3.93584e-005
				118.652	3.93584e-005
120.117	0.001512			120.117	0.000101986
120.117	0.000101986			120.117	0.000101986
				120.117	0.000101986
				121.582	4.93908e-005
				121.582	4.93908e-005
				121.582	4.93908e-005
		123.047	4.81554e-005	123.047	3.09736e-005
		123.047	3.09736e-005	123.047	3.09736e-005
				123.047	3.09736e-005
124.512	0.00133592			124.512	7.86628e-005
124.512	7.86628e-005			124.512	7.86628e-005
				124.512	7.86628e-005
				125.977	8.2234e-005
				125.977	8.2234e-005
				125.977	8.2234e-005
127.441	0.00132282			127.441	8.92023e-005
127.441	8.92023e-005			127.441	8.92023e-005
				127.441	8.92023e-005
		128.906	0.000107152	128.906	6.06277e-005
		128.906	6.06277e-005	128.906	6.06277e-005
				128.906	6.06277e-005
				130.371	8.021e-005
				130.371	8.021e-005
				130.371	8.021e-005
131.836	0.00112357			131.836	6.51756e-005
131.836	6.51756e-005			131.836	6.51756e-005
				131.836	6.51756e-005
		133.301	5.11112e-005	133.301	4.15297e-005
		133.301	4.15297e-005	133.301	4.15297e-005
				133.301	4.15297e-005
134.766	0.00112769			134.766	5.06158e-005
134.766	5.06158e-005			134.766	5.06158e-005
