"Spectrum I(f) of current at speaker terminals"					
"Signal lines"		"Noise + Distortions"		"Noise floor"	
"Frequency [Hz]"	"[dB]   0 dB = 1 A"	"Frequency [Hz]"	"[dB]   0 dB = 1 A"	"Frequency [Hz]"	"[dB]   0 dB = 1 A"
87.8906	-107.98			87.8906	-107.98
				87.8906	-107.98
				89.3555	-111.909
				89.3555	-111.909
				89.3555	-111.909
90.8203	-58.6391			90.8203	-113.237
90.8203	-113.237			90.8203	-113.237
				90.8203	-113.237
92.2852	-58.5486			92.2852	-112.33
92.2852	-112.33			92.2852	-112.33
				92.2852	-112.33
		93.75	-100.438	93.75	-110.248
		93.75	-110.248	93.75	-110.248
				93.75	-110.248
95.2148	-58.2981			95.2148	-110.301
95.2148	-110.301			95.2148	-110.301
				95.2148	-110.301
				96.6797	-106.325
				96.6797	-106.325
				96.6797	-106.325
98.1445	-58.1102			98.1445	-110.837
98.1445	-110.837			98.1445	-110.837
				98.1445	-110.837
		99.6094	-102.459	99.6094	-107.848
		99.6094	-107.848	99.6094	-107.848
				99.6094	-107.848
101.074	-57.8063			101.074	-103.809
101.074	-103.809			101.074	-103.809
				101.074	-103.809
		102.539	-97.0631	102.539	-122.1
		102.539	-122.1	102.539	-122.1
				102.539	-122.1
104.004	-57.5953			104.004	-110.753
104.004	-110.753			104.004	-110.753
				104.004	-110.753
		105.469	-98.0485	105.469	-113.206
		105.469	-113.206	105.469	-113.206
				105.469	-113.206
106.934	-57.4409			106.934	-116.761
106.934	-116.761			106.934	-116.761
				106.934	-116.761
		108.398	-108.716	108.398	-122.254
		108.398	-122.254	108.398	-122.254
				108.398	-122.254
		109.863	-102.126	109.863	-106.088
		109.863	-106.088	109.863	-106.088
				109.863	-106.088
111.328	-57.1229			111.328	-110.772
111.328	-110.772			111.328	-110.772
				111.328	-110.772
		112.793	-104.448	112.793	-111.715
		112.793	-111.715	112.793	-111.715
				112.793	-111.715
114.258	-56.9581			114.258	-107.846
114.258	-107.846			114.258	-107.846
				114.258	-107.846
		115.723	-105.656	115.723	-113.604
		115.723	-113.604	115.723	-113.604
				115.723	-113.604
117.188	-56.8011			117.188	-113.078
117.188	-113.078			117.188	-113.078
				117.188	-113.078
		118.652	-98.0391	118.652	-110.569
		118.652	-110.569	118.652	-110.569
				118.652	-110.569
120.117	-56.6864			120.117	-110.932
120.117	-110.932			120.117	-110.932
				120.117	-110.932
		121.582	-108.052	121.582	-109.752
		121.582	-109.752	121.582	-109.752
				121.582	-109.752
		123.047	-101.283	123.047	-107.986
		123.047	-107.986	123.047	-107.986
				123.047	-107.986
124.512	-56.5016			124.512	-112.523
124.512	-112.523			124.512	-112.523
				124.512	-112.523
				125.977	-108.957
				125.977	-108.957
				125.977	-108.957
127.441	-56.4192			127.441	-114.832
127.441	-114.832			127.441	-114.832
				127.441	-114.832
		128.906	-114.869	128.906	-120.058
		128.906	-120.058	128.906	-120.058
				128.906	-120.058
		130.371	-103.662	130.371	-111.95
		130.371	-111.95	130.371	-111.95
				130.371	-111.95
131.836	-56.3165			131.836	-122.761
131.836	-122.761			131.836	-122.761
				131.836	-122.761
				133.301	-112.821
				133.301	-112.821
				133.301	-112.821
134.766	-56.1552			134.766	-106.162
134.766	-106.162			134.766	-106.162
				134.766	-106.162
		136.23	-93.9949	136.23	-111.222
		136.23	-111.222	136.23	-111.222
				136.23	-111.222
		137.695	-96.1681	137.695	-115.341
		137.695	-115.341	137.695	-115.341
				137.695	-115.341
139.16	-56.0042			139.16	-111.575
139.16	-111.575			139.16	-111.575
				139.16	-111.575
		140.625	-102.539	140.625	-109.651
		140.625	-109.651	140.625	-109.651
				140.625	-109.651
		142.09	-100.558	142.09	-121.148
		142.09	-121.148	142.09	-121.148
				142.09	-121.148
143.555	-55.9315			143.555	-119.066
143.555	-119.066			143.555	-119.066
				143.555	-119.066
		145.02	-98.9885	145.02	-109.648
		145.02	-109.648	145.02	-109.648
				145.02	-109.648
		146.484	-103.013	146.484	-111.114
		146.484	-111.114	146.484	-111.114
				146.484	-111.114
147.949	-55.7848			147.949	-107.691
147.949	-107.691			147.949	-107.691
				147.949	-107.691
		149.414	-98.3746	149.414	-131.661
		149.414	-131.661	149.414	-131.661
				149.414	-131.661
		150.879	-101.695	150.879	-118.042
		150.879	-118.042	150.879	-118.042
				150.879	-118.042
152.344	-55.7068			152.344	-109.529
152.344	-109.529			152.344	-109.529
				152.344	-109.529
		153.809	-108.181	153.809	-127.981
		153.809	-127.981	153.809	-127.981
				153.809	-127.981
		155.273	-107.747	155.273	-114.623
		155.273	-114.623	155.273	-114.623
				155.273	-114.623
156.738	-55.6251			156.738	-119.662
156.738	-119.662			156.738	-119.662
				156.738	-119.662
		158.203	-107.471	158.203	-113.091
		158.203	-113.091	158.203	-113.091
				158.203	-113.091
		159.668	-100.856	159.668	-114.448
		159.668	-114.448	159.668	-114.448
				159.668	-114.448
161.133	-55.5673			161.133	-107.881
161.133	-107.881			161.133	-107.881
				161.133	-107.881
		162.598	-105.24	162.598	-124.67
		162.598	-124.67	162.598	-124.67
				162.598	-124.67
		164.063	-108.254	164.063	-116.563
		164.063	-116.563	164.063	-116.563
				164.063	-116.563
165.527	-55.4954			165.527	-109.282
165.527	-109.282			165.527	-109.282
				165.527	-109.282
		166.992	-103.483	166.992	-108.78
		166.992	-108.78	166.992	-108.78
				166.992	-108.78
		168.457	-103.81	168.457	-109.947
		168.457	-109.947	168.457	-109.947
				168.457	-109.947
169.922	-55.472			169.922	-124.654
169.922	-124.654			169.922	-124.654
				169.922	-124.654
		171.387	-100.521	171.387	-116.686
		171.387	-116.686	171.387	-116.686
				171.387	-116.686
		172.852	-104.443	172.852	-113.43
		172.852	-113.43	172.852	-113.43
				172.852	-113.43
		174.316	-99.0959	174.316	-114.836
		174.316	-114.836	174.316	-114.836
				174.316	-114.836
175.781	-55.3946			175.781	-126.894
175.781	-126.894			175.781	-126.894
				175.781	-126.894
		177.246	-104.059	177.246	-111.971
		177.246	-111.971	177.246	-111.971
				177.246	-111.971
				178.711	-120.838
				178.711	-120.838
				178.711	-120.838
180.176	-55.3751			180.176	-113.817
180.176	-113.817			180.176	-113.817
				180.176	-113.817
				181.641	-110.369
				181.641	-110.369
				181.641	-110.369
				183.105	-113.312
				183.105	-113.312
				183.105	-113.312
		184.57	-105.196	184.57	-110.057
		184.57	-110.057	184.57	-110.057
				184.57	-110.057
186.035	-55.2833			186.035	-107.325
186.035	-107.325			186.035	-107.325
				186.035	-107.325
		187.5	-103.41	187.5	-119.261
		187.5	-119.261	187.5	-119.261
				187.5	-119.261
		188.965	-100.476	188.965	-113.746
		188.965	-113.746	188.965	-113.746
				188.965	-113.746
		190.43	-103.925	190.43	-132.288
		190.43	-132.288	190.43	-132.288
				190.43	-132.288
191.895	-55.2393			191.895	-124.872
191.895	-124.872			191.895	-124.872
				191.895	-124.872
		193.359	-104.061	193.359	-108.955
		193.359	-108.955	193.359	-108.955
				193.359	-108.955
		194.824	-101.989	194.824	-109.427
		194.824	-109.427	194.824	-109.427
				194.824	-109.427
		196.289	-106.571	196.289	-116.639
		196.289	-116.639	196.289	-116.639
				196.289	-116.639
197.754	-55.2181			197.754	-113.071
197.754	-113.071			197.754	-113.071
				197.754	-113.071
		199.219	-105.356	199.219	-120.256
		199.219	-120.256	199.219	-120.256
				199.219	-120.256
		200.684	-100.487	200.684	-121.432
		200.684	-121.432	200.684	-121.432
				200.684	-121.432
202.148	-55.1988			202.148	-116.008
202.148	-116.008			202.148	-116.008
				202.148	-116.008
		203.613	-100.203	203.613	-111.558
		203.613	-111.558	203.613	-111.558
				203.613	-111.558
		205.078	-101.167	205.078	-112.709
		205.078	-112.709	205.078	-112.709
				205.078	-112.709
		206.543	-101.822	206.543	-120.718
