"Magnitude of transfer function Hx(f)= X(f)/U(f)"							
"Measured"		"Fitted without creep"		"Fitted"		"Imported"	
"Frequency [Hz]"	"[mm/V]"	"Frequency [Hz]"	"[mm/V]"	"Frequency [Hz]"	"[mm/V]"	"Frequency [Hz]"	"[mm/V]"
372.07	0.0133022	372.07	0.0124409	372.07	0.0124686		
382.324	0.0131091	382.324	0.0117192	382.324	0.0117443		
394.043	0.0124954	394.043	0.0109633	394.043	0.0109859		
405.762	0.0139132	405.762	0.0102734	405.762	0.0102936		
417.48	0.00903384	417.48	0.00964207	417.48	0.00966032		
429.199	0.0125005	429.199	0.00906326	429.199	0.00907975		
442.383	0.0101709	442.383	0.00846811	442.383	0.00848285		
455.566	0.00894004	455.566	0.00792582	455.566	0.00793903		
468.75	0.00998094	468.75	0.00743056	468.75	0.00744243		
481.934	0.00859919	481.934	0.00697726	481.934	0.00698796		
496.582	0.00745988	496.582	0.00651747	496.582	0.00652703		
511.23	0.00677874	511.23	0.00609879	511.23	0.00610736		
525.879	0.00567232	525.879	0.00571668	525.879	0.00572437		
541.992	0.00402178	541.992	0.00533386	541.992	0.00534071		
558.105	0.0057603	558.105	0.00498593	558.105	0.00499206		
574.219	0.00330744	574.219	0.00466896	574.219	0.00467445		
590.332	0.00512781	590.332	0.00437952	590.332	0.00438446		
607.91	0.0040545	607.91	0.0040917	607.91	0.0040961		
625.488	0.00505164	625.488	0.00382977	625.488	0.00383372		
644.531	0.00318931	644.531	0.0035719	644.531	0.00357541		
663.574	0.00228193	663.574	0.00333786	663.574	0.003341		
682.617	0.0019065	682.617	0.00312492	682.617	0.00312772		
701.66	0.00347495	701.66	0.0029307	701.66	0.00293322		
723.633	0.00295324	723.633	0.00272721	723.633	0.00272944		
744.141	0.0021277	744.141	0.00255492	744.141	0.00255693		
766.113	0.00101923	766.113	0.00238702	766.113	0.0023888		
788.086	0.00149356	788.086	0.00223441	788.086	0.002236		
811.523	0.00195375	811.523	0.00208652	811.523	0.00208794		
834.961	0.00236437	834.961	0.00195223	834.961	0.0019535		
859.863	0.000897797	859.863	0.0018227	859.863	0.00182384		
884.766	0.000897656	884.766	0.00170515	884.766	0.00170616		
911.133	0.000938	911.133	0.00159219	911.133	0.00159309		
937.5	0.00132277	937.5	0.00148967	937.5	0.00149048		
965.332	0.00146304	965.332	0.00139145	965.332	0.00139217		
993.164	0.00107608	993.164	0.00130229	993.164	0.00130294		
1022.46	0.00153677	1022.46	0.00121707	1022.46	0.00121764		
1051.76	0.00112145	1051.76	0.00113966	1051.76	0.00114017		
1082.52	0.0015724	1082.52	0.0010658	1082.52	0.00106626		
1114.75	0.00147042	1114.75	0.000995607	1114.75	0.000996014		
1146.97	0.00105072	1146.97	0.000931897	1146.97	0.00093226		
1180.66	0.000235816	1180.66	0.000871397	1180.66	0.000871721		
1215.82	0.000627153	1215.82	0.00081413	1215.82	0.000814418		
1250.98	0.00120545	1250.98	0.000762138	1250.98	0.000762396		
1287.6	0.00106125	1287.6	0.000712923	1287.6	0.000713153		
