"Force factor Bl (X)"					
"-Xprot < X < Xprot"		"Xp- < X < Xp+"		"Bl (-X)"	
"<< coil out                                    X [mm]                                     coil in >>"	"Bl [N/A]"	"<< coil out                                    X [mm]                                     coil in >>"	"Bl [N/A]"	"<< coil out                                    X [mm]                                     coil in >>"	"Bl [N/A]"
-2.73625	6.24186	-2.26225	6.33969	2.73625	6.24186
-2.68097	6.25547	-2.21329	6.34754	2.68097	6.25547
-2.62569	6.26847	-2.16432	6.35502	2.62569	6.26847
-2.57042	6.28086	-2.11535	6.36213	2.57042	6.28086
-2.51514	6.29267	-2.06639	6.36889	2.51514	6.29267
-2.45986	6.30391	-2.01742	6.3753	2.45986	6.30391
-2.40458	6.3146	-1.96845	6.38138	2.40458	6.3146
-2.3493	6.32475	-1.91949	6.38713	2.3493	6.32475
-2.29403	6.33438	-1.87052	6.39257	2.29403	6.33438
-2.23875	6.34351	-1.82155	6.39772	2.23875	6.34351
-2.18347	6.35214	-1.77259	6.40257	2.18347	6.35214
-2.12819	6.3603	-1.72362	6.40714	2.12819	6.3603
-2.07292	6.36801	-1.67465	6.41144	2.07292	6.36801
-2.01764	6.37527	-1.62569	6.41548	2.01764	6.37527
-1.96236	6.38211	-1.57672	6.41927	1.96236	6.38211
-1.90708	6.38854	-1.52775	6.42281	1.90708	6.38854
-1.8518	6.39457	-1.47879	6.42613	1.8518	6.39457
-1.79653	6.40023	-1.42982	6.42923	1.79653	6.40023
-1.74125	6.40552	-1.38086	6.43211	1.74125	6.40552
-1.68597	6.41047	-1.33189	6.43479	1.68597	6.41047
-1.63069	6.41507	-1.28292	6.43727	1.63069	6.41507
-1.57542	6.41936	-1.23396	6.43957	1.57542	6.41936
-1.52014	6.42335	-1.18499	6.44169	1.52014	6.42335
-1.46486	6.42703	-1.13602	6.44363	1.46486	6.42703
-1.40958	6.43044	-1.08706	6.44541	1.40958	6.43044
-1.3543	6.43359	-1.03809	6.44704	1.3543	6.43359
-1.29903	6.43648	-0.989123	6.44852	1.29903	6.43648
-1.24375	6.43912	-0.940157	6.44985	1.24375	6.43912
-1.18847	6.44154	-0.89119	6.45105	1.18847	6.44154
-1.13319	6.44374	-0.842224	6.45212	1.13319	6.44374
-1.07792	6.44573	-0.793257	6.45307	1.07792	6.44573
-1.02264	6.44752	-0.744291	6.4539	1.02264	6.44752
-0.967361	6.44913	-0.695324	6.45461	0.967361	6.44913
-0.912083	6.45056	-0.646358	6.45522	0.912083	6.45056
-0.856805	6.45182	-0.597391	6.45573	0.856805	6.45182
-0.801527	6.45292	-0.548425	6.45613	0.801527	6.45292
-0.74625	6.45387	-0.499458	6.45645	0.74625	6.45387
-0.690972	6.45467	-0.450492	6.45667	0.690972	6.45467
-0.635694	6.45534	-0.401525	6.45681	0.635694	6.45534
-0.580416	6.45588	-0.352559	6.45687	0.580416	6.45588
-0.525139	6.4563	-0.303592	6.45685	0.525139	6.4563
-0.469861	6.4566	-0.254626	6.45675	0.469861	6.4566
-0.414583	6.45678	-0.205659	6.45657	0.414583	6.45678
-0.359305	6.45687	-0.156693	6.45632	0.359305	6.45687
-0.304028	6.45685	-0.107726	6.45601	0.304028	6.45685
-0.24875	6.45673	-0.0587598	6.45562	0.24875	6.45673
-0.193472	6.45652	-0.00979325	6.45517	0.193472	6.45652
-0.138194	6.45621	0.0391732	6.45465	0.138194	6.45621
-0.0829166	6.45582	0.0881398	6.45406	0.0829166	6.45582
-0.0276389	6.45534	0.137106	6.45341	0.0276389	6.45534
0.0276389	6.45478	0.186073	6.4527	-0.0276389	6.45478
0.0829166	6.45413	0.235039	6.45191	-0.0829166	6.45413
0.138194	6.4534	0.284006	6.45107	-0.138194	6.4534
0.193472	6.45258	0.332972	6.45015	-0.193472	6.45258
0.24875	6.45168	0.381939	6.44917	-0.24875	6.45168
0.304028	6.4507	0.430905	6.44811	-0.304028	6.4507
0.359305	6.44963	0.479872	6.44699	-0.359305	6.44963
0.414583	6.44847	0.528838	6.44579	-0.414583	6.44847
0.469861	6.44723	0.577805	6.44452	-0.469861	6.44723
0.525139	6.44589	0.626771	6.44317	-0.525139	6.44589
0.580416	6.44445	0.675738	6.44174	-0.580416	6.44445
0.635694	6.44292	0.724704	6.44022	-0.635694	6.44292
0.690972	6.44128	0.773671	6.43862	-0.690972	6.44128
0.74625	6.43953	0.822637	6.43692	-0.74625	6.43953
0.801527	6.43767	0.871604	6.43513	-0.801527	6.43767
0.856805	6.43568	0.92057	6.43324	-0.856805	6.43568
0.912083	6.43358	0.969537	6.43125	-0.912083	6.43358
0.967361	6.43134	1.0185	6.42914	-0.967361	6.43134
1.02264	6.42896	1.06747	6.42692	-1.02264	6.42896
1.07792	6.42643	1.11644	6.42458	-1.07792	6.42643
1.13319	6.42375	1.1654	6.42212	-1.13319	6.42375
1.18847	6.42091	1.21437	6.41952	-1.18847	6.42091
1.24375	6.4179	1.26334	6.41679	-1.24375	6.4179
1.29903	6.4147	1.3123	6.41391	-1.29903	6.4147
1.3543	6.41132	1.36127	6.41088	-1.3543	6.41132
1.40958	6.40773	1.41024	6.40769	-1.40958	6.40773
1.46486	6.40393	1.4592	6.40433	-1.46486	6.40393
1.52014	6.39991	1.50817	6.4008	-1.52014	6.39991
1.57542	6.39566	1.55713	6.39709	-1.57542	6.39566
1.63069	6.39117	1.6061	6.3932	-1.63069	6.39117
1.68597	6.38641	1.65507	6.3891	-1.68597	6.38641
1.74125	6.38139	1.70403	6.3848	-1.74125	6.38139
1.79653	6.37609	1.753	6.38029	-1.79653	6.37609
1.8518	6.37049	1.80197	6.37555	-1.8518	6.37049
1.90708	6.36458	1.85093	6.37058	-1.90708	6.36458
1.96236	6.35836	1.8999	6.36537	-1.96236	6.35836
2.01764	6.3518	1.94887	6.35991	-2.01764	6.3518
2.07292	6.34489	1.99783	6.35419	-2.07292	6.34489
2.12819	6.33761	2.0468	6.3482	-2.12819	6.33761
2.18347	6.32996	2.09577	6.34192	-2.18347	6.32996
2.23875	6.32192	2.14473	6.33536	-2.23875	6.32192
2.29403	6.31347	2.1937	6.3285	-2.29403	6.31347
2.3493	6.30459	2.24267	6.32133	-2.3493	6.30459
2.40458	6.29528	2.29163	6.31384	-2.40458	6.29528
2.45986	6.28552	2.3406	6.30602	-2.45986	6.28552
2.51514	6.27529	2.38957	6.29786	-2.51514	6.27529
2.57042	6.26457	2.43853	6.28934	-2.57042	6.26457
2.62569	6.25336	2.4875	6.28046	-2.62569	6.25336
2.68097	6.24164	2.53646	6.27121	-2.68097	6.24164
2.73625	6.22938	2.58543	6.26158	-2.73625	6.22938
