"Electrical inductance L(X, I=0)"			
"-Xprot < X < Xprot"		"Xp- < X < Xp+"	
"<< coil out                                    X [mm]                                     coil in >>"	"Le [mH]"	"<< coil out                                    X [mm]                                     coil in >>"	"Le [mH]"
-2.73625	0.550822	-2.26225	0.536913
-2.68097	0.5492	-2.21329	0.535478
-2.62569	0.547577	-2.16432	0.534044
-2.57042	0.545955	-2.11535	0.53261
-2.51514	0.544332	-2.06639	0.531178
-2.45986	0.54271	-2.01742	0.529747
-2.40458	0.541087	-1.96845	0.528317
-2.3493	0.539466	-1.91949	0.526889
-2.29403	0.537844	-1.87052	0.525462
-2.23875	0.536224	-1.82155	0.524037
-2.18347	0.534604	-1.77259	0.522613
-2.12819	0.532986	-1.72362	0.521192
-2.07292	0.531369	-1.67465	0.519772
-2.01764	0.529753	-1.62569	0.518355
-1.96236	0.528139	-1.57672	0.516941
-1.90708	0.526527	-1.52775	0.515528
-1.8518	0.524917	-1.47879	0.514119
-1.79653	0.523309	-1.42982	0.512712
-1.74125	0.521703	-1.38086	0.511308
-1.68597	0.5201	-1.33189	0.509907
-1.63069	0.5185	-1.28292	0.50851
-1.57542	0.516903	-1.23396	0.507115
-1.52014	0.515309	-1.18499	0.505725
-1.46486	0.513718	-1.13602	0.504338
-1.40958	0.512131	-1.08706	0.502955
-1.3543	0.510548	-1.03809	0.501575
-1.29903	0.508969	-0.989123	0.5002
-1.24375	0.507394	-0.940157	0.49883
-1.18847	0.505824	-0.89119	0.497463
-1.13319	0.504258	-0.842224	0.496101
-1.07792	0.502697	-0.793257	0.494745
-1.02264	0.501141	-0.744291	0.493392
-0.967361	0.499591	-0.695324	0.492046
-0.912083	0.498046	-0.646358	0.490704
-0.856805	0.496507	-0.597391	0.489368
-0.801527	0.494973	-0.548425	0.488037
-0.74625	0.493446	-0.499458	0.486712
-0.690972	0.491926	-0.450492	0.485393
-0.635694	0.490412	-0.401525	0.48408
-0.580416	0.488906	-0.352559	0.482773
-0.525139	0.487406	-0.303592	0.481473
-0.469861	0.485914	-0.254626	0.480179
-0.414583	0.484429	-0.205659	0.478892
-0.359305	0.482953	-0.156693	0.477612
-0.304028	0.481484	-0.107726	0.476339
-0.24875	0.480024	-0.0587598	0.475074
-0.193472	0.478573	-0.00979325	0.473816
-0.138194	0.477131	0.0391732	0.472569
-0.0829166	0.475697	0.0881398	0.471343
-0.0276389	0.474273	0.137106	0.470138
0.0276389	0.472861	0.186073	0.468952
0.0829166	0.471473	0.235039	0.467787
0.138194	0.470111	0.284006	0.466641
0.193472	0.468775	0.332972	0.465515
0.24875	0.467464	0.381939	0.464408
0.304028	0.466178	0.430905	0.463319
0.359305	0.464917	0.479872	0.46225
0.414583	0.46368	0.528838	0.461199
0.469861	0.462467	0.577805	0.460166
0.525139	0.461277	0.626771	0.459151
0.580416	0.460111	0.675738	0.458154
0.635694	0.458968	0.724704	0.457175
0.690972	0.457848	0.773671	0.456213
0.74625	0.456749	0.822637	0.455268
0.801527	0.455673	0.871604	0.454341
0.856805	0.454619	0.92057	0.45343
0.912083	0.453587	0.969537	0.452536
0.967361	0.452575	1.0185	0.451658
1.02264	0.451585	1.06747	0.450797
1.07792	0.450616	1.11644	0.449952
1.13319	0.449667	1.1654	0.449123
1.18847	0.448738	1.21437	0.44831
1.24375	0.44783	1.26334	0.447513
1.29903	0.446941	1.3123	0.446731
1.3543	0.446072	1.36127	0.445964
1.40958	0.445223	1.41024	0.445213
1.46486	0.444393	1.4592	0.444477
1.52014	0.443582	1.50817	0.443756
1.57542	0.44279	1.55713	0.44305
1.63069	0.442016	1.6061	0.442358
1.68597	0.441261	1.65507	0.441681
1.74125	0.440524	1.70403	0.441018
1.79653	0.439806	1.753	0.44037
1.8518	0.439105	1.80197	0.439736
1.90708	0.438423	1.85093	0.439116
1.96236	0.437758	1.8999	0.43851
2.01764	0.43711	1.94887	0.437918
2.07292	0.43648	1.99783	0.43734
2.12819	0.435867	2.0468	0.436776
2.18347	0.435272	2.09577	0.436225
2.23875	0.434693	2.14473	0.435687
2.29403	0.434131	2.1937	0.435163
2.3493	0.433586	2.24267	0.434652
2.40458	0.433057	2.29163	0.434155
2.45986	0.432545	2.3406	0.43367
2.51514	0.432049	2.38957	0.433199
2.57042	0.431569	2.43853	0.43274
2.62569	0.431106	2.4875	0.432295
2.68097	0.430659	2.53646	0.431862
2.73625	0.430227	2.58543	0.431442
